browser,operating_sys,from_url,to_url,city,latitude,longitude,time_zone,time_in,time_out
Mozilla/5.0 AppleWebKit/535.11 Chrome/17.0.963.78 Safari/535.11,Windows NT 6.1,www.facebook.com,www.ncbi.nlm,Danvers,42.576698,-70.954903,America/New_York,2012-04-01 19:03:50,2012-04-01 19:03:57
,,www.AwareMap.com,www.monroecounty.gov,Provo,40.218102,-111.613297,America/Denver,2012-03-16 18:40:49,2011-06-16 22:13:13
Mozilla/4.0 Trident/4.0,Windows NT 6.1,,,Washington,38.9007,-77.043098,America/New_York,2012-04-02 22:50:30,2012-04-02 22:50:35
Mozilla/5.0 AppleWebKit/534.52.7 Version/5.1.2 Safari/534.52.7,,,,Braz,-23.549999,-46.616699,America/Sao_Paulo,2012-04-04 02:37:10,2012-04-04 02:37:24
Mozilla/5.0 AppleWebKit/535.11 Chrome/17.0.963.79 Safari/535.11,Windows NT 6.1,www.shrewsbury-ma,www.shrewsbury-ma,Shrewsbury,42.286499,-71.714699,America/New_York,2012-04-05 06:23:50,2012-04-05 06:23:59
Mozilla/5.0 AppleWebKit/535.11 Chrome/17.0.963.79 Safari/535.11,Windows NT 6.1,www.shrewsbury-ma,www.shrewsbury-ma,Shrewsbury,42.286499,-71.714699,America/New_York,2012-04-06 10:10:30,2012-04-06 10:10:48
Mozilla/5.0 AppleWebKit/535.11 Chrome/17.0.963.79 Safari/535.11,Windows NT 5.1,,www.nasa.gov,Luban,51.116699,15.2833,Europe/Warsaw,2012-04-07 13:57:10,2012-04-07 13:57:20
Mozilla/5.0 Gecko/20100101 Firefox/4.0.1,Windows NT 6.1,www.facebook.com,www.nasa.gov,,,,,2012-04-09 21:30:36,
Opera/9.80 Presto/2.10.254 Version/12.00,,www.facebook.com,www.nasa.gov,,,,,2012-04-08 17:43:50,2012-04-08 17:44:02
Mozilla/5.0 AppleWebKit/535.11 Chrome/17.0.963.79 Safari/535.11,Windows NT 6.1,,,,,,,2012-04-09 21:30:30,2012-04-09 21:30:40
Mozilla/5.0 Gecko/20100101 Firefox/10.0.2,Windows NT 6.1,,www.nysdot.gov,Seattle,47.5951,-122.332603,America/Los_Angeles,2012-04-11 01:17:10,2012-04-11 01:17:20
Mozilla/5.0 Gecko/20120216 Firefox/3.6.27,,,,Washington,38.937599,-77.092796,America/New_York,2012-04-12 05:04:00,2012-04-12 05:04:03
